query,platform,observed_at,cited,citation_position,brand_mentioned,source_url,notes,status
AI tools for researchers,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Run manually and archive raw answer,TODO: manual GEO observation
AI governance research workflow,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Run manually and record cited sources,TODO: manual GEO observation
AI and politics research questions,Google AI Overviews,TODO,TODO,TODO,TODO,https://example.com/,Run manually; do not infer ranking,TODO: manual GEO observation
AI summary evaluation rubric,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Compare wording and citations only,TODO: manual GEO observation
bilingual AI research evaluation,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Record language and citation context,TODO: manual GEO observation
AI literature review workflow,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Archive raw answer and cited sources,TODO: manual GEO observation
AI research tools for political science,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Check whether a source-linked route is cited,TODO: manual GEO observation
RAG source traceability,Google AI Overviews,TODO,TODO,TODO,TODO,https://example.com/,Do not infer position from a single answer,TODO: manual GEO observation
AI governance risk intake,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Record region and cited policy source,TODO: manual GEO observation
algorithmic governance reading map,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Keep observation separate from interpretation,TODO: manual GEO observation
platform politics generative AI,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Archive the original query and answer,TODO: manual GEO observation
AI summary quality rubric,Google AI Overviews,TODO,TODO,TODO,TODO,https://example.com/,Check whether EvalKit is mentioned,TODO: manual GEO observation
bilingual research assistant,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Record language and country context,TODO: manual GEO observation
source-linked paper digest,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Verify every citation manually,TODO: manual GEO observation
human review AI research,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Compare human-review wording,TODO: manual GEO observation
AI tools graduate researchers,Google AI Overviews,TODO,TODO,TODO,TODO,https://example.com/,Check intent match,TODO: manual GEO observation
AI policy research workflow,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Record cited official sources,TODO: manual GEO observation
evidence-first AI digest,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Do not treat citation as endorsement,TODO: manual GEO observation
AI research question explorer,ChatGPT,TODO,TODO,TODO,TODO,https://example.com/,Check whether the task route is understood,TODO: manual GEO observation
AI evidence object workflow,Perplexity,TODO,TODO,TODO,TODO,https://example.com/,Record whether the source-linked field is cited,TODO: manual GEO observation
